,Index,JSON Data,Date,City,Country,Latitude,Longitude,Temperature,Humidity,Clouds,Wind Speed
0,0,"{'coord': {'lon': 140.8333, 'lat': 35.7333}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 81, 'feels_like': 87.62, 'temp_min': 79.29, 'temp_max': 81, 'pressure': 1006, 'humidity': 86, 'sea_level': 1006, 'grnd_level': 1006}, 'visibility': 10000, 'wind': {'speed': 1.48, 'deg': 277, 'gust': 4.76}, 'clouds': {'all': 99}, 'dt': 1660681118, 'sys': {'type': 1, 'id': 7955, 'country': 'JP', 'sunrise': 1660679805, 'sunset': 1660728315}, 'timezone': 32400, 'id': 2112802, 'name': 'Hasaki', 'cod': 200}",1660681118,Hasaki,JP,35.7333,140.8333,81.0,86.0,99.0,1.48
1,1,"{'coord': {'lon': -135.33, 'lat': 57.0531}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 66.09, 'feels_like': 65.17, 'temp_min': 66.09, 'temp_max': 66.09, 'pressure': 1013, 'humidity': 59}, 'visibility': 10000, 'wind': {'speed': 14.97, 'deg': 110}, 'clouds': {'all': 100}, 'dt': 1660681120, 'sys': {'type': 1, 'id': 7795, 'country': 'US', 'sunrise': 1660656658, 'sunset': 1660711226}, 'timezone': -28800, 'id': 5557293, 'name': 'Sitka', 'cod': 200}",1660681120,Sitka,US,57.0531,-135.33,66.09,59.0,100.0,14.97
2,2,"{'coord': {'lon': 93.8333, 'lat': 27.6333}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 61.12, 'feels_like': 61.59, 'temp_min': 61.12, 'temp_max': 61.12, 'pressure': 1008, 'humidity': 99, 'sea_level': 1008, 'grnd_level': 811}, 'visibility': 9761, 'wind': {'speed': 0.85, 'deg': 69, 'gust': 1.45}, 'clouds': {'all': 95}, 'dt': 1660681122, 'sys': {'country': 'IN', 'sunrise': 1660691769, 'sunset': 1660738907}, 'timezone': 19800, 'id': 1252668, 'name': 'Ziro', 'cod': 200}",1660681122,Ziro,IN,27.6333,93.8333,61.12,99.0,95.0,0.85
3,3,"{'coord': {'lon': 31.1511, 'lat': 27.2696}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 89.69, 'feels_like': 86.67, 'temp_min': 89.69, 'temp_max': 89.69, 'pressure': 1007, 'humidity': 25, 'sea_level': 1007, 'grnd_level': 1001}, 'visibility': 10000, 'wind': {'speed': 11.77, 'deg': 331, 'gust': 23.64}, 'clouds': {'all': 0}, 'dt': 1660681124, 'sys': {'country': 'EG', 'sunrise': 1660620416, 'sunset': 1660667568}, 'timezone': 7200, 'id': 362973, 'name': 'Abnūb', 'cod': 200}",1660681124,Abnūb,EG,27.2696,31.1511,89.69,25.0,0.0,11.77
4,4,"{'coord': {'lon': 169.8464, 'lat': -46.2817}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 47.75, 'feels_like': 47.75, 'temp_min': 47.75, 'temp_max': 47.75, 'pressure': 1015, 'humidity': 96, 'sea_level': 1015, 'grnd_level': 1014}, 'visibility': 10000, 'wind': {'speed': 0.29, 'deg': 229, 'gust': 0.92}, 'clouds': {'all': 100}, 'dt': 1660681126, 'sys': {'country': 'NZ', 'sunrise': 1660678706, 'sunset': 1660715490}, 'timezone': 43200, 'id': 2208248, 'name': 'Kaitangata', 'cod': 200}",1660681126,Kaitangata,NZ,-46.2817,169.8464,47.75,96.0,100.0,0.29
5,5,"{'coord': {'lon': -51.1817, 'lat': -0.0583}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 93.38, 'feels_like': 100.89, 'temp_min': 93.38, 'temp_max': 93.38, 'pressure': 1009, 'humidity': 49}, 'visibility': 10000, 'wind': {'speed': 3.44, 'deg': 70}, 'clouds': {'all': 40}, 'dt': 1660681128, 'sys': {'type': 1, 'id': 8415, 'country': 'BR', 'sunrise': 1660641947, 'sunset': 1660685551}, 'timezone': -10800, 'id': 3391360, 'name': 'Santana', 'cod': 200}",1660681128,Santana,BR,-0.0583,-51.1817,93.38,49.0,40.0,3.44
6,6,"{'coord': {'lon': 7.1123, 'lat': 43.7216}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 73.06, 'feels_like': 73.92, 'temp_min': 71.78, 'temp_max': 73.92, 'pressure': 1012, 'humidity': 82}, 'visibility': 10000, 'wind': {'speed': 1.99, 'deg': 11, 'gust': 4}, 'clouds': {'all': 6}, 'dt': 1660681129, 'sys': {'type': 2, 'id': 2072600, 'country': 'FR', 'sunrise': 1660624617, 'sunset': 1660674904}, 'timezone': 7200, 'id': 2970148, 'name': 'Vence', 'cod': 200}",1660681129,Vence,FR,43.7216,7.1123,73.06,82.0,6.0,1.99
7,7,"{'coord': {'lon': 67.0233, 'lat': 34.388}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 61.39, 'feels_like': 58.78, 'temp_min': 61.39, 'temp_max': 61.39, 'pressure': 1011, 'humidity': 33, 'sea_level': 1011, 'grnd_level': 738}, 'visibility': 10000, 'wind': {'speed': 4.79, 'deg': 34, 'gust': 5.14}, 'clouds': {'all': 38}, 'dt': 1660681131, 'sys': {'country': 'AF', 'sunrise': 1660697651, 'sunset': 1660745893}, 'timezone': 16200, 'id': 1131162, 'name': 'Panjāb', 'cod': 200}",1660681131,Panjāb,AF,34.388,67.0233,61.39,33.0,38.0,4.79
8,8,"{'coord': {'lon': -69.3369, 'lat': 19.2056}, 'weather': [{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11d'}], 'base': 'stations', 'main': {'temp': 91.62, 'feels_like': 104.22, 'temp_min': 80.56, 'temp_max': 91.62, 'pressure': 1014, 'humidity': 70}, 'visibility': 10000, 'wind': {'speed': 4.61, 'deg': 160}, 'clouds': {'all': 40}, 'dt': 1660681133, 'sys': {'type': 1, 'id': 7044, 'country': 'DO', 'sunrise': 1660645119, 'sunset': 1660691092}, 'timezone': -14400, 'id': 3492997, 'name': 'Samaná', 'cod': 200}",1660681133,Samaná,DO,19.2056,-69.3369,91.62,70.0,40.0,4.61
9,9,"{'coord': {'lon': -156.7887, 'lat': 71.2906}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 35.62, 'feels_like': 26.64, 'temp_min': 35.62, 'temp_max': 35.62, 'pressure': 1012, 'humidity': 93}, 'visibility': 10000, 'wind': {'speed': 13.8, 'deg': 30}, 'clouds': {'all': 100}, 'dt': 1660681096, 'sys': {'type': 1, 'id': 7649, 'country': 'US', 'sunrise': 1660655584, 'sunset': 1660722599}, 'timezone': -28800, 'id': 5880054, 'name': 'Barrow', 'cod': 200}",1660681096,Barrow,US,71.2906,-156.7887,35.62,93.0,100.0,13.8
10,10,"{'coord': {'lon': -155.09, 'lat': 19.7297}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 81.7, 'feels_like': 86.94, 'temp_min': 81.1, 'temp_max': 87.28, 'pressure': 1016, 'humidity': 75}, 'visibility': 10000, 'wind': {'speed': 9.22, 'deg': 140}, 'clouds': {'all': 20}, 'dt': 1660681137, 'sys': {'type': 1, 'id': 7881, 'country': 'US', 'sunrise': 1660665669, 'sunset': 1660711699}, 'timezone': -36000, 'id': 5855927, 'name': 'Hilo', 'cod': 200}",1660681137,Hilo,US,19.7297,-155.09,81.7,75.0,20.0,9.22
11,11,"{'coord': {'lon': 115.3333, 'lat': -33.65}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 52.74, 'feels_like': 51.42, 'temp_min': 52.74, 'temp_max': 52.74, 'pressure': 1005, 'humidity': 79, 'sea_level': 1005, 'grnd_level': 1005}, 'visibility': 8878, 'wind': {'speed': 21.83, 'deg': 260, 'gust': 31.88}, 'rain': {'1h': 0.25}, 'clouds': {'all': 99}, 'dt': 1660681138, 'sys': {'country': 'AU', 'sunrise': 1660690544, 'sunset': 1660729815}, 'timezone': 28800, 'id': 2075265, 'name': 'Busselton', 'cod': 200}",1660681138,Busselton,AU,-33.65,115.3333,52.74,79.0,99.0,21.83
12,12,"{'coord': {'lon': 27.9116, 'lat': -33.0153}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 63.21, 'feels_like': 61.02, 'temp_min': 63.21, 'temp_max': 63.21, 'pressure': 1011, 'humidity': 38, 'sea_level': 1011, 'grnd_level': 1006}, 'visibility': 10000, 'wind': {'speed': 4.74, 'deg': 345, 'gust': 5.23}, 'clouds': {'all': 100}, 'dt': 1660681140, 'sys': {'country': 'ZA', 'sunrise': 1660625122, 'sunset': 1660664416}, 'timezone': 7200, 'id': 1006984, 'name': 'East London', 'cod': 200}",1660681140,East London,ZA,-33.0153,27.9116,63.21,38.0,100.0,4.74
13,13,"{'coord': {'lon': 30.7861, 'lat': 59.7035}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 69.28, 'feels_like': 69.33, 'temp_min': 68.79, 'temp_max': 69.69, 'pressure': 1018, 'humidity': 73, 'sea_level': 1018, 'grnd_level': 1015}, 'visibility': 10000, 'wind': {'speed': 5.19, 'deg': 123, 'gust': 15.75}, 'clouds': {'all': 10}, 'dt': 1660681142, 'sys': {'type': 2, 'id': 47750, 'country': 'RU', 'sunrise': 1660616071, 'sunset': 1660672088}, 'timezone': 10800, 'id': 546105, 'name': 'Nikolskoye', 'cod': 200}",1660681142,Nikolskoye,RU,59.7035,30.7861,69.28,73.0,10.0,5.19
14,14,"{'coord': {'lon': -73.65, 'lat': -37.6167}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 50.41, 'feels_like': 49.3, 'temp_min': 50.41, 'temp_max': 50.41, 'pressure': 1014, 'humidity': 88, 'sea_level': 1014, 'grnd_level': 1010}, 'visibility': 10000, 'wind': {'speed': 15.9, 'deg': 229, 'gust': 23.15}, 'clouds': {'all': 100}, 'dt': 1660681144, 'sys': {'country': 'CL', 'sunrise': 1660649874, 'sunset': 1660688408}, 'timezone': -14400, 'id': 3883457, 'name': 'Lebu', 'cod': 200}",1660681144,Lebu,CL,-37.6167,-73.65,50.41,88.0,100.0,15.9
15,15,"{'coord': {'lon': 45.0761, 'lat': -12.9025}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 73.38, 'feels_like': 74.14, 'temp_min': 73.38, 'temp_max': 73.38, 'pressure': 1016, 'humidity': 79, 'sea_level': 1016, 'grnd_level': 1015}, 'visibility': 10000, 'wind': {'speed': 8.01, 'deg': 248, 'gust': 7.94}, 'clouds': {'all': 12}, 'dt': 1660681146, 'sys': {'type': 1, 'id': 2131, 'country': 'YT', 'sunrise': 1660619613, 'sunset': 1660661687}, 'timezone': 10800, 'id': 1090467, 'name': 'Boueni', 'cod': 200}",1660681146,Boueni,YT,-12.9025,45.0761,73.38,79.0,12.0,8.01
