,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Clouds,Wind Speed
0,Hasaki,JP,1660681118,35.7333,140.8333,81.0,86.0,99.0,1.48
1,Sitka,US,1660681120,57.0531,-135.33,66.09,59.0,100.0,14.97
2,Ziro,IN,1660681122,27.6333,93.8333,61.12,99.0,95.0,0.85
3,Abnūb,EG,1660681124,27.2696,31.1511,89.69,25.0,0.0,11.77
4,Kaitangata,NZ,1660681126,-46.2817,169.8464,47.75,96.0,100.0,0.29
5,Santana,BR,1660681128,-0.0583,-51.1817,93.38,49.0,40.0,3.44
6,Vence,FR,1660681129,43.7216,7.1123,73.06,82.0,6.0,1.99
7,Panjāb,AF,1660681131,34.388,67.0233,61.39,33.0,38.0,4.79
8,Samaná,DO,1660681133,19.2056,-69.3369,91.62,70.0,40.0,4.61
9,Barrow,US,1660681096,71.2906,-156.7887,35.62,93.0,100.0,13.8
10,Hilo,US,1660681137,19.7297,-155.09,81.7,75.0,20.0,9.22
11,Busselton,AU,1660681138,-33.65,115.3333,52.74,79.0,99.0,21.83
12,East London,ZA,1660681140,-33.0153,27.9116,63.21,38.0,100.0,4.74
13,Nikolskoye,RU,1660681142,59.7035,30.7861,69.28,73.0,10.0,5.19
14,Lebu,CL,1660681144,-37.6167,-73.65,50.41,88.0,100.0,15.9
15,Boueni,YT,1660681146,-12.9025,45.0761,73.38,79.0,12.0,8.01
16,Vaini,TO,1660681148,-21.2,-175.2,73.56,78.0,40.0,17.27
17,Khuzhir,RU,1660681150,53.1939,107.3397,53.98,73.0,40.0,7.34
18,Qaanaaq,GL,1660681152,77.484,-69.3632,42.94,56.0,100.0,5.91
19,Ponta do Sol,PT,1660681154,32.6667,-17.1,75.29,77.0,10.0,7.25
20,Yumen,CN,1660681155,40.2833,97.2,78.8,16.0,100.0,6.64
21,Celle,DE,1660681157,52.6226,10.0805,73.99,62.0,75.0,3.44
22,Kumul,CN,1660681159,42.8,93.45,85.17,22.0,100.0,18.12
23,Destin,US,1660680909,30.3935,-86.4958,89.78,70.0,20.0,19.57
24,La Santisima Trinidad,BO,1660681163,-14.8333,-64.9,89.58,58.0,75.0,11.5
25,Stornoway,GB,1660681165,58.2093,-6.3865,50.83,68.0,75.0,13.8
26,Kapaa,US,1660680998,22.0752,-159.319,81.37,67.0,0.0,8.05
27,Pilar,BR,1660681110,-9.5972,-35.9567,73.33,88.0,20.0,8.01
29,Primorskiy,RU,1660681171,43.0983,131.5875,65.43,84.0,6.0,3.67
30,Dikson,RU,1660681173,73.5069,80.5464,41.05,88.0,100.0,26.51
31,Bengkulu,ID,1660681175,-3.8004,102.2655,75.24,87.0,83.0,4.14
32,Albany,US,1660680907,42.6001,-73.9662,83.08,35.0,100.0,1.99
33,Mahébourg,MU,1660681179,-20.4081,57.7,68.29,94.0,40.0,4.61
34,Winslow,US,1660681033,35.0242,-110.6974,82.58,47.0,0.0,3.44
35,Cape Town,ZA,1660680921,-33.9258,18.4232,55.98,74.0,75.0,13.8
36,Puerto Ayora,EC,1660681184,-0.7393,-90.3518,70.56,91.0,100.0,10.0
